组播,#genre#
成都少儿频道,http://171.213.134.86:8188/udp/239.93.0.21:1251
蓉城先锋,http://171.213.134.86:8188/udp/239.93.0.91:2101
绚影4K,http://171.213.134.86:8188/udp/239.93.42.33:5140
爱上4K,http://171.213.134.86:8188/udp/239.93.0.97:5140
4K乐享超清,http://171.213.134.86:8188/udp/239.93.0.43:5140
中录动漫4K,http://171.213.134.86:8188/udp/239.93.1.188:5140
百视通华语影院,http://171.213.134.86:8188/udp/239.93.0.138:5140
百视通星光院线,http://171.213.134.86:8188/udp/239.93.0.139:5140
百视通全球大片,http://171.213.134.86:8188/udp/239.93.0.105:5140
百视通热门剧场,http://171.213.134.86:8188/udp/239.93.0.140:5140
百视通谍战剧场,http://171.213.134.86:8188/udp/239.93.0.95:5140
百视通青春动漫,http://171.213.134.86:8188/udp/239.93.0.146:5140
百视通宝宝动画,http://171.213.134.86:8188/udp/239.93.0.147:5140
百视通热门综艺,http://171.213.134.86:8188/udp/239.93.0.151:5140
百视通戏曲精选,http://171.213.134.86:8188/udp/239.93.0.144:5140
百视通电竞天堂,http://171.213.134.86:8188/udp/239.93.1.135:5140
iHOT爱浪漫,http://171.213.134.86:8188/udp/239.93.42.21:5140
iHOT爱喜剧,http://171.213.134.86:8188/udp/239.93.42.9:5140
iHOT爱奇谈,http://171.213.134.86:8188/udp/239.93.42.22:5140
iHOT爱科幻,http://171.213.134.86:8188/udp/239.93.42.10:5140
iHOT爱院线,http://171.213.134.86:8188/udp/239.93.42.11:5140
iHOT爱谍战,http://171.213.134.86:8188/udp/239.93.42.14:5140
iHOT爱历史,http://171.213.134.86:8188/udp/239.93.42.13:5140
iHOT爱悬疑,http://171.213.134.86:8188/udp/239.93.42.12:5140
iHOT爱都市,http://171.213.134.86:8188/udp/239.93.42.15:5140
iHOT爱旅行,http://171.213.134.86:8188/udp/239.93.42.16:5140
iHOT爱体育,http://171.213.134.86:8188/udp/239.93.42.19:5140
iHOT爱赛车,http://171.213.134.86:8188/udp/239.93.42.20:5140
iHOT爱动漫,http://171.213.134.86:8188/udp/239.93.42.23:5140
iHOT爱幼教,http://171.213.134.86:8188/udp/239.93.42.17:5140
iHOT爱玩具,http://171.213.134.86:8188/udp/239.93.42.18:5140
红色经典,http://171.213.134.86:8188/udp/239.93.1.176:5140
上海都市剧场,http://171.213.134.86:8188/udp/239.93.42.30:5140
上海纪实人文,http://171.213.134.86:8188/udp/239.93.1.137:5140
上海生活时尚,http://171.213.134.86:8188/udp/239.93.42.29:5140
上海东方财经,http://171.213.134.86:8188/udp/239.93.1.165:5140
湖南快乐垂钓,http://171.213.134.86:8188/udp/239.93.1.151:5140
湖南茶频道,http://171.213.134.86:8188/udp/239.93.0.114:5140
CETV-1,http://171.213.134.86:8188/udp/239.93.1.111:5140
求索频道,http://171.213.134.86:8188/udp/239.93.42.24:5140
i成都,http://171.213.134.86:8188/udp/239.93.1.104:1234
亲子趣学4K,http://171.213.134.86:8188/udp/239.93.1.191:5140
少儿天地,http://171.213.134.86:8188/udp/239.93.42.34:5140
爱宠宠物,http://171.213.134.86:8188/udp/239.93.42.32:5140
来钓鱼吧,http://171.213.134.86:8188/udp/239.93.42.8:5140
麻辣体育,http://171.213.134.86:8188/udp/239.93.42.2:5140
熊猫体娱,http://171.213.134.86:8188/udp/239.93.0.94:5140
熊猫少儿,http://171.213.134.86:8188/udp/239.93.1.189:5140
熊猫影院,http://171.213.134.86:8188/udp/239.93.0.214:5140
熊猫卡通,http://171.213.134.86:8188/udp/239.93.1.172:5140
熊猫频道,http://171.213.134.86:8188/udp/239.93.0.211:9148
熊猫24小时,http://171.213.134.86:8188/udp/239.93.1.178:5140
收视导视,http://171.213.134.86:8188/udp/239.93.1.39:5140
熊猫爱生活,http://171.213.134.86:8188/udp/239.93.1.190:5140
大爱四川,http://171.213.134.86:8188/udp/239.93.1.110:5140
大爱旅游,http://171.213.134.86:8188/udp/239.93.42.70:5140
大爱生活,http://171.213.134.86:8188/udp/239.93.42.71:5140
大爱时尚,http://171.213.134.86:8188/udp/239.93.42.72:5140
天元围棋,http://171.213.134.86:8188/udp/239.93.42.55:5140
乐龄学堂,http://171.213.134.86:8188/udp/239.93.1.179:5140
CHANNEL-V,http://171.213.134.86:8188/udp/239.93.0.157:2194
四川影视文艺,http://171.213.242.38:8188/udp/239.93.0.166:5140
四川经济频道,http://171.213.242.38:8188/udp/239.93.1.101:5140
四川新闻频道,http://171.213.242.38:8188/udp/239.93.0.47:5140
四川乡村频道,http://171.213.242.38:8188/udp/239.93.0.52:5140
四川文化旅游,http://171.213.242.38:8188/udp/239.93.1.102:5140
四川科教频道,http://171.213.242.38:8188/udp/239.93.42.44:5140
四川峨眉电影,http://171.213.242.38:8188/udp/239.93.0.252:5140
四川妇女儿童,http://171.213.242.38:8188/udp/239.93.0.219:5140
凤凰中文,http://171.213.242.38:8188/udp/239.93.0.162:2192
凤凰资讯,http://171.213.242.38:8188/udp/239.93.0.118:2191
成都综合频道,http://171.213.242.38:8188/udp/239.93.0.16:5140
成都经济频道,http://171.213.242.38:8188/udp/239.93.0.17:1239
成都生活频道,http://171.213.242.38:8188/udp/239.93.0.18:1238
成都影视频道,http://171.213.242.38:8188/udp/239.93.0.19:1250
成都公共频道,http://171.213.242.38:8188/udp/239.93.1.231:5140
成都少儿频道,http://171.213.242.38:8188/udp/239.93.0.21:1251
蓉城先锋,http://171.213.242.38:8188/udp/239.93.0.91:2101
绚影4K,http://171.213.242.38:8188/udp/239.93.42.33:5140
爱上4K,http://171.213.242.38:8188/udp/239.93.0.97:5140
4K乐享超清,http://171.213.242.38:8188/udp/239.93.0.43:5140
中录动漫4K,http://171.213.242.38:8188/udp/239.93.1.188:5140
百视通华语影院,http://171.213.242.38:8188/udp/239.93.0.138:5140
百视通星光院线,http://171.213.242.38:8188/udp/239.93.0.139:5140
百视通全球大片,http://171.213.242.38:8188/udp/239.93.0.105:5140
百视通热门剧场,http://171.213.242.38:8188/udp/239.93.0.140:5140
百视通谍战剧场,http://171.213.242.38:8188/udp/239.93.0.95:5140
百视通青春动漫,http://171.213.242.38:8188/udp/239.93.0.146:5140
百视通宝宝动画,http://171.213.242.38:8188/udp/239.93.0.147:5140
百视通热门综艺,http://171.213.242.38:8188/udp/239.93.0.151:5140
百视通戏曲精选,http://171.213.242.38:8188/udp/239.93.0.144:5140
百视通电竞天堂,http://171.213.242.38:8188/udp/239.93.1.135:5140
iHOT爱浪漫,http://171.213.242.38:8188/udp/239.93.42.21:5140
iHOT爱喜剧,http://171.213.242.38:8188/udp/239.93.42.9:5140
iHOT爱奇谈,http://171.213.242.38:8188/udp/239.93.42.22:5140
iHOT爱科幻,http://171.213.242.38:8188/udp/239.93.42.10:5140
iHOT爱院线,http://171.213.242.38:8188/udp/239.93.42.11:5140
iHOT爱谍战,http://171.213.242.38:8188/udp/239.93.42.14:5140
iHOT爱历史,http://171.213.242.38:8188/udp/239.93.42.13:5140
iHOT爱悬疑,http://171.213.242.38:8188/udp/239.93.42.12:5140
iHOT爱都市,http://171.213.242.38:8188/udp/239.93.42.15:5140
iHOT爱旅行,http://171.213.242.38:8188/udp/239.93.42.16:5140
iHOT爱体育,http://171.213.242.38:8188/udp/239.93.42.19:5140
iHOT爱赛车,http://171.213.242.38:8188/udp/239.93.42.20:5140
iHOT爱动漫,http://171.213.242.38:8188/udp/239.93.42.23:5140
iHOT爱幼教,http://171.213.242.38:8188/udp/239.93.42.17:5140
iHOT爱玩具,http://171.213.242.38:8188/udp/239.93.42.18:5140
红色经典,http://171.213.242.38:8188/udp/239.93.1.176:5140
上海都市剧场,http://171.213.242.38:8188/udp/239.93.42.30:5140
上海纪实人文,http://171.213.242.38:8188/udp/239.93.1.137:5140
上海生活时尚,http://171.213.242.38:8188/udp/239.93.42.29:5140
上海东方财经,http://171.213.242.38:8188/udp/239.93.1.165:5140
湖南快乐垂钓,http://171.213.242.38:8188/udp/239.93.1.151:5140
湖南茶频道,http://171.213.242.38:8188/udp/239.93.0.114:5140
CETV-1,http://171.213.242.38:8188/udp/239.93.1.111:5140
求索频道,http://171.213.242.38:8188/udp/239.93.42.24:5140
i成都,http://171.213.242.38:8188/udp/239.93.1.104:1234
亲子趣学4K,http://171.213.242.38:8188/udp/239.93.1.191:5140
少儿天地,http://171.213.242.38:8188/udp/239.93.42.34:5140
爱宠宠物,http://171.213.242.38:8188/udp/239.93.42.32:5140
来钓鱼吧,http://171.213.242.38:8188/udp/239.93.42.8:5140
麻辣体育,http://171.213.242.38:8188/udp/239.93.42.2:5140
熊猫体娱,http://171.213.242.38:8188/udp/239.93.0.94:5140
熊猫少儿,http://171.213.242.38:8188/udp/239.93.1.189:5140
熊猫影院,http://171.213.242.38:8188/udp/239.93.0.214:5140
熊猫卡通,http://171.213.242.38:8188/udp/239.93.1.172:5140
熊猫频道,http://171.213.242.38:8188/udp/239.93.0.211:9148
熊猫24小时,http://171.213.242.38:8188/udp/239.93.1.178:5140
收视导视,http://171.213.242.38:8188/udp/239.93.1.39:5140
熊猫爱生活,http://171.213.242.38:8188/udp/239.93.1.190:5140
大爱四川,http://171.213.242.38:8188/udp/239.93.1.110:5140
大爱旅游,http://171.213.242.38:8188/udp/239.93.42.70:5140
大爱生活,http://171.213.242.38:8188/udp/239.93.42.71:5140
大爱时尚,http://171.213.242.38:8188/udp/239.93.42.72:5140
天元围棋,http://171.213.242.38:8188/udp/239.93.42.55:5140
乐龄学堂,http://171.213.242.38:8188/udp/239.93.1.179:5140
CHANNEL-V,http://171.213.242.38:8188/udp/239.93.0.157:2194
内蒙古蒙语频道,http://123.179.62.61:4022/rtp/239.29.0.210:5000
内蒙古经济生活,http://123.179.62.61:4022/rtp/239.29.0.212:5000
内蒙古新闻综合,http://123.179.62.61:4022/rtp/239.29.0.208:5000
内蒙古文体娱乐,http://123.179.62.61:4022/rtp/239.29.0.211:5000
内蒙古农牧频道,http://123.179.62.61:4022/rtp/239.29.0.209:5000
内蒙古少儿频道,http://123.179.62.61:4022/rtp/239.29.0.207:5000
CETV1,http://123.179.62.61:4022/rtp/239.29.0.95:5000
CETV2,http://123.179.62.61:4022/rtp/239.29.0.139:5000
北京纪实科教,http://123.179.62.61:4022/rtp/239.29.0.110:5000
北京卡酷少儿,http://123.179.62.61:4022/rtp/239.29.1.41:5001
金鹰纪实,http://123.179.62.61:4022/rtp/239.29.0.92:5000
金鹰卡通,http://123.179.62.61:4022/rtp/239.29.1.85:5001
嘉佳卡通,http://123.179.62.61:4022/rtp/239.29.0.126:5000
优漫卡通,http://123.179.62.61:4022/rtp/239.29.0.127:5000
哈哈炫动,http://123.179.62.61:4022/rtp/239.29.0.128:5000
呼市新闻综合,http://123.179.62.61:4022/rtp/239.29.0.35:5000
呼市影视娱乐,http://123.179.62.61:4022/rtp/239.29.0.37:5000
包头经济频道,http://123.179.62.61:4022/rtp/239.29.0.204:5000
包头生活服务,http://123.179.62.61:4022/rtp/239.29.0.112:5000
包头新闻综合,http://123.179.62.61:4022/rtp/239.29.0.111:5000
乌海新闻综合,http://123.179.62.61:4022/rtp/239.29.0.11:5000
乌海都市生活,http://123.179.62.61:4022/rtp/239.29.0.12:5000
赤峰新闻综合,http://123.179.62.61:4022/rtp/239.29.0.13:5000
赤峰经济服务,http://123.179.62.61:4022/rtp/239.29.0.14:5000
赤峰影视娱乐,http://123.179.62.61:4022/rtp/239.29.0.15:5000
通辽城市服务,http://123.179.62.61:4022/rtp/239.29.0.42:5000
通辽新闻综合,http://123.179.62.61:4022/rtp/239.29.0.41:5000
通辽蒙语频道,http://123.179.62.61:4022/rtp/239.29.0.40:5000
呼伦贝尔新闻综合,http://123.179.62.61:4022/rtp/239.29.0.19:5000
呼伦贝尔文化旅游,http://123.179.62.61:4022/rtp/239.29.0.20:5000
呼伦贝尔生活资讯,http://123.179.62.61:4022/rtp/239.29.0.21:5000
巴彦淖尔新闻综合,http://123.179.62.61:4022/rtp/239.29.0.25:5000
巴彦淖尔经济生活,http://123.179.62.61:4022/rtp/239.29.0.26:5000
巴彦淖尔影视娱乐,http://123.179.62.61:4022/rtp/239.29.0.27:5000
鄂尔多斯新闻综合,http://123.179.62.61:4022/rtp/239.29.0.30:5000
鄂尔多斯经济服务,http://123.179.62.61:4022/rtp/239.29.0.31:5000
鄂尔多斯蒙语频道,http://123.179.62.61:4022/rtp/239.29.0.33:5000
锡林郭勒1,http://123.179.62.61:4022/rtp/239.29.0.38:5000
锡林郭勒2,http://123.179.62.61:4022/rtp/239.29.0.39:5000
杭后电视台,http://123.179.62.61:4022/rtp/239.29.0.149:5000
达茂电视台,http://123.179.62.61:4022/rtp/239.29.1.101:5000
库伦电视台,http://123.179.62.61:4022/rtp/239.29.1.100:5000
